docname,topic,proportion
blog_content_cleaned.csv:16,001,0.357196
blog_content_cleaned.csv:16,004,0.347027
blog_content_cleaned.csv:16,003,0.295777
blog_content_cleaned.csv:51,002,0.932991
blog_content_cleaned.csv:51,004,0.067009
blog_content_cleaned.csv:86,000,0.755207
blog_content_cleaned.csv:86,005,0.172961
blog_content_cleaned.csv:86,003,0.071832
blog_content_cleaned.csv:121,002,0.935152
blog_content_cleaned.csv:121,003,0.064848
blog_content_cleaned.csv:156,004,0.455507
blog_content_cleaned.csv:156,003,0.367467
blog_content_cleaned.csv:156,006,0.11089
blog_content_cleaned.csv:156,002,0.066135
blog_content_cleaned.csv:221,002,0.703649
blog_content_cleaned.csv:221,004,0.201569
blog_content_cleaned.csv:221,006,0.094781
blog_content_cleaned.csv:256,003,0.640843
blog_content_cleaned.csv:256,004,0.359157
blog_content_cleaned.csv:291,002,0.543841
blog_content_cleaned.csv:291,006,0.240023
blog_content_cleaned.csv:291,005,0.216136
blog_content_cleaned.csv:326,003,0.94029
blog_content_cleaned.csv:326,002,0.05971
blog_content_cleaned.csv:361,005,0.820486
blog_content_cleaned.csv:361,002,0.161327
blog_content_cleaned.csv:361,000,0.018187
blog_content_cleaned.csv:19,003,0.515623
blog_content_cleaned.csv:19,002,0.344822
blog_content_cleaned.csv:19,001,0.139555
blog_content_cleaned.csv:54,003,0.764276
blog_content_cleaned.csv:54,004,0.199385
blog_content_cleaned.csv:54,000,0.03634
blog_content_cleaned.csv:89,000,0.739213
blog_content_cleaned.csv:89,006,0.224476
blog_content_cleaned.csv:89,001,0.036311
blog_content_cleaned.csv:124,005,0.910992
blog_content_cleaned.csv:124,001,0.050033
blog_content_cleaned.csv:124,003,0.038976
blog_content_cleaned.csv:159,001,0.657121
blog_content_cleaned.csv:159,006,0.225336
blog_content_cleaned.csv:159,002,0.117543
blog_content_cleaned.csv:224,000,0.506482
blog_content_cleaned.csv:224,003,0.490515
blog_content_cleaned.csv:224,004,0.003003
blog_content_cleaned.csv:259,005,0.734132
blog_content_cleaned.csv:259,002,0.265868
blog_content_cleaned.csv:294,004,0.556901
blog_content_cleaned.csv:294,001,0.406819
blog_content_cleaned.csv:294,006,0.036279
blog_content_cleaned.csv:329,003,0.652784
blog_content_cleaned.csv:329,006,0.223767
blog_content_cleaned.csv:329,001,0.075559
blog_content_cleaned.csv:329,004,0.04789
