Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
0,ITEM-10001,"['creat', 'ultim', 'resum', '-', 'workshop', 'object', 'session', 'learn', 'write', 'present', 'target', 'written', 'job', 'search', 'tool', 'specif', 'goals.', 'sampl', 'resum', 'shared.']",Ingles
1,ITEM-10003,"['interview', 'essenti', 'workshop', 'object', 'session', 'particip', 'learn', 'prepar', 'interview', 'differ', 'style', 'typic', 'question', 'respons', 'well', 'question', 'ask', 'interview', 'candid', 'evaluated.']",Ingles
2,ITEM-101001,"['spd/smo', 'workshop', 'data', 'analysi', 'visual', 'day', 'workshop', 'spd/smo', 'staff', 'consult', 'aim', 'strengthen', 'skill', 'data', 'analysi', 'visual']",Ingles
3,ITEM-102001,"['taller', 'estrategico', 'edu', ':', '""digit', 'transform', 'education""']",Español
4,ITEM-103001,"['barbado', 'day', '-', 'toward', 'countri', 'strategi', 'part', 'process', 'develop', 'new', 'countri', 'strategi', 'barbado', 'day', 'design', 'identifi', 'input', 'inform', 'countri', 'develop', 'challeng', 'document.th', 'workshop', 'aim', 'to:-', 'describ', 'develop', 'context', 'key', 'develop', 'challeng', 'face', 'barbados-', 'describ', 'specif', 'challeng', 'confront', 'area-', 'foster', 'inter-sectori', 'dialogu', 'across', 'idb', 'group']",Ingles
5,ITEM-104001,"['high', 'impact', 'present', '(hip)', 'level', '-', 'leadership', 'employe', 'develop', 'divis', '(hrd/ldv)', 'two-day', 'program', 'help', 'particip', 'improv', 'structur', 'content', 'deliveri', 'presentations.', 'student', 'also', 'discov', 'new', 'techniqu', 'help', 'ensur', 'audienc', 'becom', 'remain', 'captivated.', 'partnership', 'dale', 'carnegi', 'hrd/ldv', 'present', 'two', 'level', 'high', 'impact', 'present', 'program', 'idb', 'group', 'staff', 'manageri', 'technic', 'tracks.', 'program', 'particip', 'interact', 'coach', 'dynam', 'interact', 'audienc', 'activ', 'particip', 'fast', 'move', 'sessions.', 'workshop', 'deliv', 'english.objectives:level', 'i:', 'develop', 'skill', 'creat', 'deliv', 'present', 'vital', 'success', 'idb', 'group.cor', 'competencies:', 'communic', 'influence.elig', 'requirements:', 'staff', 'technic', 'track', '-', 'supervisor', 'approvalcommitment:', 'particip', 'must', 'attend', 'two', 'full', 'day', 'program.certification:', 'provid', 'dale', 'carnegie.', 'equival', '.', 'c.e.u', '(continu', 'educ', 'units)tuit', 'cost:', 'full', 'tuition', '$', 'per', 'participant.', 'tuition', 'cost', 'charg', 'organiz', 'unit', 'upon', 'particip', 'registration.\uf0a7', 'transport', 'hq', 'provid', 'participants.\uf0a7', 'hrd', 'cover', 'travel', 'expens', 'program.', 'travel', 'lodg', 'incident', 'cost', 'cof', 'staff', 'must', 'cover', 'organiz', 'unit.\uf0a7', 'maximum', 'particip', 'per', 'group.\uf0a7', 'slot', 'fill', 'first', 'come', 'first', 'serv', 'basis.\uf0a7', 'prioriti', 'given', 'staff.cancel', 'policy:if', 'regist', 'particip', 'abl', 'attend', 'learn', 'coordin', 'organiz', 'unit', 'need', 'notifi', 'lcsp@iadb.org', 'nomin', 'anoth', 'particip', 'later', 'week', 'prior', 'event.', 'cost', 'cours', 'reimbursed.']",Ingles
6,ITEM-105001,"['team', 'leadership', 'skill', 'program', '(tlp)', '-', 'leadership', '&', 'employe', 'develop', 'divis', '|', 'hrd-ldv', 'team', 'leadership', 'skill', 'program', '(tlp)', '-', 'leadership', '&', 'employe', 'develop', 'divis', '|', 'hrd-ldvleadership', 'style', 'uniqu', 'individu', 'situational.', 'particip', 'learn', 'use', 'new', 'capabl', 'team', 'environ', 'select', 'effect', 'manag', 'style', 'specif', 'situation.', 'tlp', 'especi', 'design', 'custom', 'idbg', 'staff.objective:th', 'goal', 'cours', 'prepar', 'particip', 'handl', 'various', 'challeng', 'face', 'team', 'leadership.', 'program', 'support', 'self-reflect', 'skill', 'develop', 'creat', 'chang', 'particip', 'intern', 'dialogu', 'interact', 'role-play', 'self-assess', 'measur', 'group', 'discuss', 'exercis', 'interact', 'lectures.', 'activ', 'enhanc', 'particip', 'develop', 'uniqu', 'leadership', 'capabilities.cor', 'competencies:collaboration.', 'teamwork', 'inclusion.', 'innov', 'creativity.', 'communic', 'influenceelig', 'requirements:idb', '(grade', ')', 'idb', 'invest', '(level', 'b', 'c', 'e)', 'technic', 'trackidentifi', 'nomin', 'supervisor', 'base', 'on:•', 'leader', 'team', 'staff', 'consultants•', 'project', 'lead', '(develop', 'corporate)•', 'leadership', 'potentialcommitment:•', 'hour', '(', 'days)', ':', ':•', 'residenti', 'program;', 'particip', 'stay', 'overnight', 'hotel•', 'hand', 'exercis', 'case', 'scenario', 'practic', 'simulations.particip', 'gains:self-', 'awareness;', 'team', 'dynamics;', 'social', 'emot', 'intelligence;', 'art', 'feedback;', 'situat', 'leadership;', 'chang', 'agilityassess', '/', 'competencies:•', 'emot', 'intellig', '(eqi)', '|', 'thoma', 'killman', 'instrument', '(tki)•', 'collabor', 'teamwork', 'inclus', '|', 'communic', 'influenc', 'hand', 'exercis', 'case', 'scenario', 'practic', 'simulations.tuit', 'cost:ful', 'tuition', '$', 'per', 'participantincluded:•', 'manual', 'learn', 'materials|', 'books:', 'littl', 'book', 'trust', 'agil', 'leader•', 'transport', 'hq-ashburn-', 'hq•', 'meals:', 'breakfast', 'lunch', 'dinner•', 'tuition', 'cost', 'charg', 'organiz', 'unit', 'upon', 'particip', 'registration.•', 'transport', 'hq', 'provid', 'participants.•', 'hrd', 'cover', 'travel', 'expens', 'program.', 'travel', 'lodg', 'incident', 'cost', 'cof', 'staff', 'must', 'cover', 'organiz', 'unit.•', 'maximum', 'particip', 'per', 'group.•', 'lot', 'fill', 'first', 'come', 'first', 'serv', 'basis.•', 'prioriti', 'given', 'staffcancel', 'policy:if', 'regist', 'particip', 'abl', 'attend', 'learn', 'coordin', 'organiz', 'unit', 'need', 'notifi', 'leadershipprograms@iadb.org', 'nomin', 'anoth', 'particip', 'later', 'week', 'prior', 'event.', 'cost', 'cours', 'reimbursed.']",Ingles
7,ITEM-105002,"['find', 'recommendations:', 'opportun', 'learn', 'share', 'knowledg', 'cours', 'allow', 'understand', 'concept', 'find', 'recommend', 'import', 'document', 'correctly.', 'time', 'abl', 'identifi', 'relev', 'documented.']",Ingles
8,ITEM-107001,"['introduc', 'user', 'experi', '(ux)', 'project', 'train', 'introduc', 'ux', 'initi', 'ite', 'depart', 'interact', 'activ', 'allow', 'understand', 'busi', 'benefit', 'includ', 'ux', 'current', 'futur', 'projects.', 'skils/top', 'cover:-', 'introduct', 'ux', 'pilot:', 'standard', 'project', 'pilot', 'next', 'steps-', 'busi', 'benefit', 'includ', 'ux', 'project-', 'practic', 'tip', 'start', 'integr', 'ux', 'right', 'now-', 'use', 'ux', 'offic', 'hourspleas', 'note', 'session', 'spanish.']",Ingles
9,ITEM-108001,"['develop', 'effect', 'seminar', 'seri', 'develop', 'effect', 'seminar', 'seri', 'spd/sdv', 'host', 'academ', 'talk', 'extern', 'research', 'empir', 'research', 'methodolog', 'innov', 'topic', 'interest', 'develop', 'effect', 'communiti', 'bank.']",Ingles
