Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
0,ITEM-10002,"['segur', 'complet', 'curs', 'particip', 'podran:-reforz', 'uso', 'practic', 'segur', 'establec', 'it;-identific', 'riesg', 'phishing', 'corre', 'electron', 'recib', 'actu', 'debid', 'sigu', 'recomend', 'seguridad;-aplic', 'med', 'segur', 'adecu', 'salv', 'amenaz', 'internet', 'misiones;-hac', 'uso', 'proced', 'deb', 'segu', 'manten', 'inform', 'segura;-empl', 'comport', 'segur', 'recomend', 'asegur', 'inform', 'encuentr', 'linea.']",Español
1,ITEM-102002,"['workshop:', 'overview', 'of', 'the', 'bank’s', 'financial', 'statements', 'and', 'information', 'statement', 'tall', 'part', 'plan', 'aprendizaj', 'directori', 'aprob', 'comit', 'coordin', 'diciembr', 'objet', 'fortalec', 'analisis', 'financier', 'banc', 'part', 'miembr', 'directorio.']",Ingles
2,ITEM-102003,"['seman', 'sectorial', 'wsa', 'entend', 'afront', 'desafi', 'banc', 'sector', 'agu', 'saneamient', 'imper', 'especial', 'wsa', 'actualic', 'conoc', 'tecnic', 'familiaric', 'tem', 'frontera.', 'event', 'busc', 'logr', 'ambos', 'objet', 'travesd', 'dos', 'component', 'especificos.', 'asistent', 'sesion', 'select', 'marc', 'octav', 'for', 'mundial', 'agu', 'sesion', 'cerr', 'explorar', 'leccion', 'aprendidas.']",Español
3,ITEM-105003,"['hallazg', 'recomendaciones:', 'oportun', 'aprend', 'compart', 'conoc', 'curs', 'permit', 'comprend', 'concept', 'hallazg', 'recomend', 'import', 'document', 'correctamente.', 'mism', 'tiemp', 'podran', 'identific', 'aquell', 'relev', 'ser', 'documentados.']",Español
4,ITEM-110001,"['csd/ifd', 'workshop', 'gener', 'sinergi', 'trabaj', 'departament', 'csd/ifd']",Español
5,ITEM-110002,"['retir', 'division', 'efect', 'desarroll', '(dvf)']",Español
6,ITEM-110003,"['document', 'estand', 'licit', '(del)', 'diseñ', 'construccion', 'obras', 'menor', 'estrategi', 'oficin', 'servici', 'gestion', 'financ', 'adquisicion', 'oper', '(vpc/fmp)', 'orient', 'mejor', 'continu', 'servici', 'fiduciari', 'tem', 'adquisicion', 'innov', 'busqued', 'asesor', 'tecnic', 'proactiv', 'alta', 'calidad.', 'tal', 'fin', 'decid', 'dar', 'continu', 'esfuerz', 'armoniz', 'bmd', 'desarroll', 'document', 'estand', 'licit', 'diseñ', 'construccion', 'posibl', 'oper', 'manten', 'obras', 'civil', 'menores.dur', 'sesion', 'particip', 'instru', 'detall', 'tecnic', 'oper', 'nuev', 'document', 'estand', 'licit', '(del)', 'diseñ', 'construccion', 'obras', 'menor', 'asi', 'borrador', 'gui', 'usuario.', 'present', 'discut', 'particular', 'propi', '(e.g.', 'figur', '“gerent', 'obras”', 'med', 'asss', 'medicion', 'trabaj', 'dia)', 'fin', 'facilit', 'puest', 'march', 'program', 'pilot', 'uso', 'mism', 'oper', 'banco.']",Español
7,ITEM-110004,"['fortalec', 'conoc', 'planif', 'ejecu', 'monitore', ""rpa's"", 'scl', 'alin', 'form', 'planific', 'monitor', 'report', 'presupuest', 'scl.revis', 'expert', 'cad', 'are', 'tem', 'especif', 'relacion', 'proces', 'manej', 'sistem', 'report', 'otros.', 'objet', 'alcanz', 'traves', 'intercambi', 'personal', 'administr', 'manej', 'recurs', 'scl', 'encarg', 'vps', 'manej', 'presupuestal', 'expert', 'bda', 'fin', 'ite', 'hrd', 'cad', 'are', 'combin', 'sesion', 'intercambi', 'experient', 'practic', 'trabajo.']",Español
8,ITEM-11001,"['cicl', 'vid', 'prest', 'garant', 'soberan', 'siempr', 'quis', 'sab', 'atrev', 'pregunt', 'oper', 'encontr', 'nuev', 'curso:', 'cicl', 'vid', 'prest', 'garant', 'soberana.', 'si', 'usted', 'part', 'personal', 'corpor', 'curs', 'introduccion', 'cicl', 'proyect', 'bid', 'si', 'usted', 'trabaj', 'oper', 'curs', 'brev', 'repas', 'principal', 'tem', 'operativos.', 'encontr', 'otros:', 'cual', 'instrument', 'financier', 'ofrec', 'banc', 'cual', 'cicl', 'proyect', 'bid', 'cual', 'actor', 'document', 'clav', 'identif', 'proyect', 'cierr', 'mism', 'are', 'trabaj', 'involucr', 'supervision', 'operativa.', 'curs', 'dispon', 'idiom', 'oficial', 'banco.']",Español
9,ITEM-111001,"['argentin', 'country', 'team', 'workshop', 'objet', 'tall', 'reconoc', 'rol', 'grup', 'bid', 'plataform', 'solucion', 'innov', 'desafi', 'desarroll', 'identific', 'propuest', 'prepar', 'oficin', 'argentin', 'transformacion.']",Español
