Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
0,ITEM-10001,Create Your Ultimate Resume - Workshop The objective of the session is to learn what to write how to present it and how to target your written job search tools for your specific goals.  Sample resumes will be shared.,Ingles
1,ITEM-10003,Interviewing Essentials Workshop The objective of the session is for participants to learn how to prepare for interviews different styles typical questions and responses as well as what questions to ask in an interview and how candidates are evaluated.,Ingles
2,ITEM-101001,SPD/SMO Workshop on data analysis and visualization  Day workshop for SPD/SMO Staff and Consultants aimed at strengthening their skills on data analysis and visualization,Ingles
3,ITEM-102001,"Taller Estrategico EDU : ""Digital Transformation in Education"" ",Español
4,ITEM-103001,Barbados Day - Towards a Country Strategy As part of the process of developing a new Country Strategy Barbados Day has been designed to identify inputs to inform the Country Development Challenges document.The workshop will aim to:- describe the development context and key developing challenges facing Barbados- describe the specific challenges confronting each area- foster inter-sectorial dialogue across the IDB group,Ingles
5,ITEM-104001,High Impact Presentations (HIP) Level I - Leadership and Employee Development Division (HRD/LDV) A two-day program that helps participants improve the structure content and delivery of their presentations. Students also discover new techniques that help them ensure their audience becomes and remains captivated. In partnership with Dale Carnegie HRD/LDV presents two levels of the High Impact Presentations program for IDB Group staff in the managerial and technical tracks. During the program participants have interactive coaching dynamic interaction with audiences active participation and fast moving sessions. The workshops are delivered in English.Objectives:Level I: To develop the skills to create and deliver presentations which are vital to the success of the IDB Group.Core Competencies: Communication and influence.Eligibility and Requirements: Staff in Technical Track - Supervisor’s ApprovalCommitment: Participants must attend the two full day program.Certification: Provided by Dale Carnegie. Equivalent to . C.E.U (Continuing Education Units)Tuition Cost: Full tuition $ per participant. The tuition cost is charged to the Organizational Unit upon participant’s registration.	Transportation from and to HQ will be provided to participants.	HRD does not cover travel expenses for this program. Travel lodging and incidentals cost for COF staff must be covered by their Organizational Unit.	Maximum  participants per group.	Slots are filled on a first come first served basis.	Priority will be given to staff.Cancellation Policy:If a registered participant is not able to attend the Learning Coordinator of the Organizational Unit will need to notify LCSP@iadb.org and nominate another participant no later than  weeks prior the event. Cost of the course will not be reimbursed.,Ingles
6,ITEM-105001,Team Leadership Skills Program (TLP) - Leadership & Employee Development Division | HRD-LDV Team Leadership Skills Program (TLP) - Leadership & Employee Development Division | HRD-LDVLeadership styles are uniquely individual and situational. Participants will learn to use their new capabilities in a team environment and to select the most effective management style for a specific situation.  The TLP has been especially designed and customized to IDBG staff.Objective:The goal of this course is to prepare participants to handle the various challenges they will face in team leadership. The Program supports self-reflection and skill development by creating changes in each participant's internal dialogue through interactive role-playing self-assessment measures group discussions exercises and interactive lectures. These activities will enhance each participant's development of their own unique leadership capabilities.Core Competencies:Collaboration. Teamwork and Inclusion. Innovation and Creativity. Communication and InfluenceEligibility and Requirements:IDB (Grades  to ) and IDB Invest (Levels B C D E) in Technical TrackIdentified and nominated by supervisors based on:•	Leader of a team of  or more staff or consultants•	Project Lead (Development or Corporate)•	Leadership PotentialCommitment:•	 hours ( days) from : to :•	This is a residential program; participants stay overnight at the Hotel•	Hands on exercises case scenarios and practical simulations.Participants’ Gains:Self- awareness; Team Dynamics; Social and Emotional Intelligence; The Art of Feedback; Situational Leadership; Change AgilityAssessments / Competencies:•	Emotional Intelligence (EQi) | Thomas Killman Instrument (TKI)•	Collaboration Teamwork and Inclusion | Communication and influence through hands on exercises case scenarios and practical simulations.Tuition Cost:Full tuition $   per participantIncluded:•	Manual and learning materials| Books:  Little Book of Trust The Agile Leader•	Transportation HQ-Ashburn- HQ•	All meals:  breakfast lunch dinner•	The tuition cost is charged to the Organizational Unit upon participant’s registration.•	Transportation from and to HQ will be provided to participants.•	HRD does not cover travel expenses for this program. Travel lodging and incidentals cost for COF staff must be covered by their Organizational Unit.•	Maximum  participants per group.•	lots are filled on a first come first served basis.•	Priority will be given to staffCancellation Policy:If a registered participant is not able to attend the Learning Coordinator of the Organizational Unit will need to notify LeadershipPrograms@iadb.org and nominate another participant no later than  weeks prior the event. Cost of the course will not be reimbursed.,Ingles
7,ITEM-105002,Findings and Recommendations: An Opportunity to Learn and Share Knowledge This course will allow you to understand the concepts of Findings and Recommendations and the importance of documenting them correctly. At the same time you will be able to identify those that are most relevant to be documented.,Ingles
8,ITEM-107001,Introducing User Experience (UX) in your projects This training will introduce the UX initiative to the ITE Department through interactive activities that will allow them to understand the business benefits of including UX in their current and future projects. Skils/Topics to cover:- Introduction to the UX pilot: standards project pilots and next steps- Business benefits of including UX in your project- Practical tips to start integrating UX right now- How to use our UX office hoursPlease note that these sessions will be in SPANISH.,Ingles
9,ITEM-108001,Development Effectiveness Seminar Series The Development Effectiveness Seminar series by SPD/SDV hosts academic talks by external researchers on empirical research methodological innovations and other topics of interest to the development effectiveness community at the Bank.,Ingles
