Topic Modeling Id - New Index,Item ID,Title/Description,Idioma
0,ITEM-10002,Seguridad en TI Al completar este curso los participantes podrán:-Reforzar el uso de las prácticas de seguridad establecidas por IT;-Identificar el riesgo de phishing en los correos electrónicos recibidos y actuar debidamente siguiendo las recomendaciones de seguridad;-Aplicar las medidas de seguridad adecuadas para estar a salvo de las amenazas en Internet durante las misiones;-Hacer uso de los procedimientos que se deben seguir para mantener nuestra información segura;-Emplear comportamientos seguros recomendados para asegurar la información que se encuentra en línea.,Español
1,ITEM-102002,Workshop: Overview of the Bank’s Financial Statements and Information Statement El taller es parte del Plan de Aprendizaje del Directorio aprobado por el Comité Coordinador en diciembre de  y tiene por objetivo fortalecer el análisis de los estados financieros del Banco por parte de los miembros del Directorio.,Ingles
2,ITEM-102003,Semana Sectorial de WSA Para entender y afrontar los desafíos del Banco en el sector de agua y saneamiento es imperativo que los especialistas de WSA actualicen sus conocimientos tecnicos y se familiaricen con temas de frontera.  Este evento busca lograr ambos objetivos a travésde dos componentes específicos.  La asistencia a sesiones selectas en el marco del Octavo Foro Mundial de Agua y sesiones cerradas en la que explorararán lecciones aprendidas.,Español
3,ITEM-105003,Hallazgos y Recomendaciones: Una oportunidad para aprender y compartir conocimientos Este curso te permitirá comprender los conceptos de Hallazgos y Recomendaciones y la importancia de documentarlos correctamente. Al mismo tiempo podrán identificar aquellos que son más relevantes para ser documentados.,Español
4,ITEM-110001,CSD/IFD Workshop Generar sinergias de trabajo entre los Departamentos de CSD/IFD,Español
5,ITEM-110002,Retiro de la División de Efectividad en el Desarrollo (DVF) ,Español
6,ITEM-110003,Documento Estándar de Licitación (DEL) de Diseño y Construcción de Obras Menores La estrategia de la Oficina de Servicios de Gestión Financiera y de Adquisiciones para Operaciones (VPC/FMP) está orientada a la mejora continua del servicio fiduciario en temas de adquisiciones y la innovación en búsqueda de una asesoría técnica proactiva y de alta calidad. Para tal fin ha decidido dar continuidad a los esfuerzos armonizados de los BMD por desarrollar un documento estándar de licitación para diseño y construcción y posible operación y mantenimiento de obras civiles menores.Durante la sesión los participantes serán instruidos en los detalles técnicos y operativos del nuevo Documento Estándar de Licitación (DEL) de Diseño y Construcción de Obras Menores así como un borrador de la Guía del usuario. Se presentarán y discutirán particularidades propias de este (e.g.  la figura del “Gerente de  Obras”  Medidas ASSS Medición de Trabajos por día) a fin de facilitar la puesta en marcha del programa piloto de uso del mismo en las operaciones del Banco.,Español
7,ITEM-110004,Fortaleciendo el conocimiento en planificación ejecución y monitoreo de los RPA'S de SCL Alinear la forma de planificar monitorear y reportar el presupuesto en SCL.Revisar con los expertos en cada área temas específicos relacionados a procesos manejo de sistemas reportes entre otros. Estos objetivos serán alcanzados a través del intercambio entre el personal administrativo que maneja recursos en SCL los encargados en VPS del manejo presupuestal los expertos de BDA FIN ITE y HRD en cada área combinando sesiones de intercambio de experiencias y prácticas de trabajo.,Español
8,ITEM-11001,Ciclo de Vida de los Préstamos con Garantía Soberana Todo lo que siempre quiso saber y no se atrevió a preguntar sobre operaciones lo encontrará en nuestro nuevo curso: Ciclo de vida de los préstamos con garantía soberana. Si usted es parte del personal corporativo este curso es una introducción al ciclo de proyectos del BID y si usted trabaja en operaciones este curso es un breve repaso a los principales temas operativos. Encontrará entre otros: cuáles son los instrumentos financieros que ofrece el Banco cuál es el ciclo de proyecto del BID cuáles son los actores y documentos claves desde la identificación del proyecto hasta el cierre del mismo y las áreas de trabajo involucradas en la supervisión operativa. El curso está disponible en los otros idiomas oficiales del Banco.,Español
9,ITEM-111001,Argentina Country Team Workshop  El objetivo del Taller es reconocer el rol del Grupo BID como una plataforma de soluciones innovadoras para los desafíos del desarrollo e identificar propuestas para preparar a la Oficina en Argentina para esta transformación.,Español
10,ITEM-115003,"Programación de País y Ciclo de Proyecto A través de este curso comprenderás en que consiste la Estragía de País y su vinculación con el ciclo de proyecto.  A su vez hace parte de un recurso formativo de mayor longitud en  ""Línea Amarilla - OnBoard@IDB para Directores y Consejeros ESP"".",Español
11,ITEM-116001,Elevator Pitch: Instrumentos Financieros del BID Si estás involucrado en el diseño de nuevos proyectos en la preparación de la programación anual de operaciones del país o participas en el diálogo con la contraparte sobre el tipo de préstamo que resulta más conveniente a su necesidad entonces este curso introductorio de los instrumentos financieros es para tí.Al completarlo serás capaz de:Determinar la categoría de financiamiento con garantía soberana adecuada a la necesidad planteada por un país prestatario.                        Identificar los instrumentos financieros que ofrece el BID a sus clientes del sector público según la categoría de financiamiento.Identificar cuáles productos ofrecidos por el BID son igualmente ofrecidos por otros bancos multilaterales.,Español
12,ITEM-120001,Cómo analizar riesgos de desastres y cambio climático Taller para el Diseño de un Curso Online sobre Análisis del Riesgo de Desastres y Cambio Climático para Proyectos de Inversión Pública en Infraestructura Crítica,Español
