Item ID,Title/Description,Idioma
ITEM-10001,"Create Your Ultimate Resume - Workshop The objective of the session is to learn what to write, how to present it, and how to target your written job search tools for your specific goals.  Sample resumes will be shared.",Ingles 
ITEM-10002,"Seguridad en TI Al completar este curso, los participantes podrán: 

-Reforzar el uso de las prácticas de seguridad establecidas por IT;
-Identificar el riesgo de phishing en los correos electrónicos recibidos y actuar debidamente, siguiendo las recomendaciones de seguridad; 
-Aplicar las medidas de seguridad adecuadas para estar a salvo de las amenazas en Internet durante las misiones; 
-Hacer uso de los procedimientos que se deben seguir para mantener nuestra información segura; 
-Emplear comportamientos seguros recomendados para asegurar la información que se encuentra en línea.",Español 
ITEM-10003,"Interviewing Essentials Workshop The objective of the session is for participants to learn how to prepare for interviews, different styles, typical questions and responses, as well as what questions to ask in an interview, and how candidates are evaluated.",Ingles 
ITEM-101001,SPD/SMO Workshop on data analysis and visualization 1 Day workshop for SPD/SMO Staff and Consultants aimed at strengthening their skills on data analysis and visualization,Ingles 
ITEM-102001,"Taller Estrategico EDU 2018: ""Digital Transformation in Education"" ",Español 
ITEM-102002,Workshop: Overview of the Bank’s Financial Statements and Information Statement El taller es parte del Plan de Aprendizaje del Directorio aprobado por el Comité Coordinador en diciembre de 2017 y tiene por objetivo fortalecer el análisis de los estados financieros del Banco por parte de los miembros del Directorio.,Ingles 
ITEM-102003,"Semana Sectorial de WSA Para entender y afrontar los desafíos del Banco en el sector de agua y saneamiento, es imperativo que los especialistas de WSA actualicen sus conocimientos tecnicos y se familiaricen con temas de frontera.  Este evento busca lograr ambos objetivos a travésde dos componentes específicos.  La asistencia a sesiones selectas en el marco del Octavo Foro Mundial de Agua y sesiones cerradas en la que explorararán lecciones aprendidas.",Español 
ITEM-103001,"Barbados Day - Towards a Country Strategy As part of the process of developing a new Country Strategy, Barbados Day has been designed to identify inputs to inform the Country Development Challenges document.
The workshop will aim to:
- describe the development context and key developing challenges facing Barbados
- describe the specific challenges confronting each area
- foster inter-sectorial dialogue across the IDB group",Ingles 
ITEM-103002,Serie de BBLs Digitales 2.0 serie BBLs digitales,Español 
ITEM-104001,"High Impact Presentations (HIP) Level I - Leadership and Employee Development Division (HRD/LDV) A two-day program that helps participants improve the structure, content, and delivery of their presentations. Students also discover new techniques that help them ensure their audience becomes and remains captivated. In partnership with Dale Carnegie, HRD/LDV presents two levels of the High Impact Presentations program for IDB Group staff in the managerial and technical tracks. During the program, participants have interactive coaching, dynamic interaction with audiences, active participation, and fast moving sessions. The workshops are delivered in English.
Objectives:
Level I: To develop the skills to create and deliver presentations which are vital to the success of the IDB Group.
Core Competencies: Communication and influence.
Eligibility and Requirements: Staff in Technical Track - Supervisor’s Approval
Commitment: Participants must attend the two full day program.
Certification: Provided by Dale Carnegie. Equivalent to 1.6 C.E.U (Continuing Education Units)
Tuition Cost: Full tuition $1,300 per participant. The tuition cost is charged to the Organizational Unit upon participant’s registration.
	Transportation from and to HQ will be provided to participants.
	HRD does not cover travel expenses for this program. Travel, lodging, and incidentals cost for COF staff must be covered by their Organizational Unit.
	Maximum 20 participants per group.
	Slots are filled on a first come, first served basis.
	Priority will be given to staff.
Cancellation Policy:
If a registered participant is not able to attend, the Learning Coordinator of the Organizational Unit will need to notify LCSP@iadb.org and nominate another participant no later than 2 weeks prior the event. Cost of the course will not be reimbursed.",Ingles 
ITEM-105001,"Team Leadership Skills Program (TLP) - Leadership & Employee Development Division | HRD-LDV Team Leadership Skills Program (TLP) - Leadership & Employee Development Division | HRD-LDV
Leadership styles are uniquely individual and situational. Participants will learn to use their new capabilities in a team environment and to select the most effective management style for a specific situation.  The TLP has been especially designed and customized to IDBG staff.
Objective:
The goal of this course is to prepare participants to handle the various challenges they will face in team leadership. The Program supports self-reflection and skill development by creating changes in each participant's internal dialogue through interactive role-playing, self-assessment measures, group discussions, exercises, and interactive lectures. These activities will enhance each participant's development of their own unique leadership capabilities.
Core Competencies:
Collaboration. Teamwork and Inclusion. Innovation and Creativity. Communication and Influence
Eligibility and Requirements:
IDB (Grades 3 to 6) and IDB Invest (Levels B, C, D, E) in Technical Track
Identified and nominated by supervisors based on:
•	Leader of a team of 3 or more staff or consultants
•	Project Lead (Development or Corporate)
•	Leadership Potential
Commitment:
•	32 hours (4 days) from 10:00 to 4:30
•	This is a residential program; participants stay overnight at the Hotel
•	Hands on exercises, case scenarios, and practical simulations.
Participants’ Gains:
Self- awareness; Team Dynamics; Social and Emotional Intelligence; The Art of Feedback; Situational Leadership; Change Agility
Assessments / Competencies:
•	Emotional Intelligence (EQi) | Thomas Killman Instrument (TKI)
•	Collaboration, Teamwork and Inclusion | Communication and influence, through hands on exercises, case scenarios, and practical simulations.
Tuition Cost:
Full tuition $ 2, 800 per participant

Included:
•	Manual and learning materials| Books:  Little Book of Trust, The Agile Leader
•	Transportation HQ-Ashburn- HQ
•	All meals:  breakfast, lunch, dinner
•	The tuition cost is charged to the Organizational Unit upon participant’s registration.
•	Transportation from and to HQ will be provided to participants.
•	HRD does not cover travel expenses for this program. Travel, lodging, and incidentals cost for COF staff must be covered by their Organizational Unit.
•	Maximum 24 participants per group.
•	lots are filled on a first come, first served basis.
•	Priority will be given to staff

Cancellation Policy:
If a registered participant is not able to attend, the Learning Coordinator of the Organizational Unit will need to notify LeadershipPrograms@iadb.org and nominate another participant no later than 2 weeks prior the event. Cost of the course will not be reimbursed.",Ingles 
ITEM-105002,"Findings and Recommendations: An Opportunity to Learn and Share Knowledge This course will allow you to understand the concepts of Findings and Recommendations, and the importance of documenting them correctly. At the same time, you will be able to identify those that are most relevant to be documented.",Ingles 
ITEM-105003,"Hallazgos y Recomendaciones: Una oportunidad para aprender y compartir conocimientos Este curso te permitirá comprender los conceptos de Hallazgos y Recomendaciones, y la importancia de documentarlos correctamente. Al mismo tiempo, podrán identificar aquellos que son más relevantes para ser documentados.",Español 
ITEM-106001,ECONNET Series RES BROWN BAG SERIES,Ingles 
ITEM-107001,"Introducing User Experience (UX) in your projects This training will introduce the UX initiative to the ITE Department through interactive activities that will allow them to understand the business benefits of including UX in their current and future projects. Skils/Topics to cover:
- Introduction to the UX pilot: standards, project pilots and next steps
- Business benefits of including UX in your project
- Practical tips to start integrating UX right now
- How to use our UX office hours

Please note that these sessions will be in SPANISH.",Ingles 
ITEM-108001,"Development Effectiveness Seminar Series The Development Effectiveness Seminar series by SPD/SDV hosts academic talks by external researchers on empirical research, methodological innovations, and other topics of interest to the development effectiveness community at the Bank.",Ingles 
ITEM-110001,CSD/IFD Workshop Generar sinergias de trabajo entre los Departamentos de CSD/IFD,Español 
ITEM-110002,Retiro de la División de Efectividad en el Desarrollo (DVF) ,Español 
ITEM-110003,"Documento Estándar de Licitación (DEL) de Diseño y Construcción de Obras Menores La estrategia de la Oficina de Servicios de Gestión Financiera y de Adquisiciones para Operaciones (VPC/FMP) está orientada a la mejora continua del servicio fiduciario en temas de adquisiciones y la innovación en búsqueda de una asesoría técnica proactiva y de alta calidad. Para tal fin ha decidido dar continuidad a los esfuerzos armonizados de los BMD por desarrollar un documento estándar de licitación para diseño y construcción, y posible operación y mantenimiento, de obras civiles menores.
Durante la sesión, los participantes serán instruidos en los detalles técnicos y operativos del nuevo Documento Estándar de Licitación (DEL) de Diseño y Construcción de Obras Menores así como un borrador de la Guía del usuario. Se presentarán y discutirán particularidades propias de este (e.g.  la figura del “Gerente de  Obras”,  Medidas ASSS, Medición de Trabajos por día) a fin de facilitar la puesta en marcha del programa piloto de uso del mismo en las operaciones del Banco.",Español 
ITEM-110004,"Fortaleciendo el conocimiento en planificación, ejecución y monitoreo de los RPA'S de SCL Alinear la forma de planificar, monitorear y reportar el presupuesto en SCL. 
Revisar con los expertos en cada área temas específicos relacionados a procesos, manejo de sistemas, reportes, entre otros.  
Estos objetivos serán alcanzados a través del intercambio entre el personal administrativo que maneja recursos en SCL, los encargados en VPS del manejo presupuestal, los expertos de BDA, FIN, ITE y HRD en cada área, combinando sesiones de intercambio de experiencias y prácticas de trabajo.",Español 
ITEM-11001,"Ciclo de Vida de los Préstamos con Garantía Soberana Todo lo que siempre quiso saber y no se atrevió a preguntar sobre operaciones lo encontrará en nuestro nuevo curso: Ciclo de vida de los préstamos con garantía soberana. Si usted es parte del personal corporativo este curso es una introducción al ciclo de proyectos del BID, y si usted trabaja en operaciones este curso es un breve repaso a los principales temas operativos. Encontrará entre otros: cuáles son los instrumentos financieros que ofrece el Banco, cuál es el ciclo de proyecto del BID, cuáles son los actores y documentos claves desde la identificación del proyecto hasta el cierre del mismo, y las áreas de trabajo involucradas en la supervisión operativa. El curso está disponible en los otros idiomas oficiales del Banco.",Español 
ITEM-11002,"Life cycle of Sovereign Guarantee Loans You´ll discover everything you´ve always wanted to know but didn´t dare to ask about operations in our course Life Cycle of Sovereign Guarantee Loans. For corporate staff, this course is an introduction to the IDB project cycle, and if you work in operations, this course will be a brief review of main operations topics. Among other topics, your will find out: What financial instruments the Bank offers, The IDB project cycle, Who the stakeholders are and the key documents for the process from project identification to project closure, and The work areas involved in operations supervision.",Ingles 
ITEM-11003,"Cycle de vie des prêts avec garantie souveraine Vous trouverez, tout ce que vouse avez toujours voulu savoir les opérations sans jamais oser le demander, dans le nouveu cours. Le Cycle de vie des prêts avec garantie souveraine. Pour les personnes qui font partie du personnel corporatif, ce cours est une introduction au cycle de projects de la BID, et si elles travaillent déjá sur des opérations, ce cours représente une révision rapide des principaux sjets opérationnels. Vous trouverez, entre autres, les sujets suivants: Quels sont les instruments financiers de la Banque offre?, Quels sont les acteurs et les documents clés depuis l´identification du projet jusqu á sa cloture?, et Quels sont les sectueurs de travail impliqués dans la supervision opérationnelle?",Ingles 
